id;x_wgs;y_wgs
5840681;24.824106948823406;60.33430254788878
5840682;24.828631533238017;60.33437652572543
5840683;24.83315614143433;60.334450349697974
5840690;24.864829060550715;60.33496280917518
5840703;24.92365322351959;60.335894515233605
5840707;24.94175374434483;60.33617596167731
5840723;25.01415940367844;60.337277121976115
5840724;25.018684944424937;60.33734463617735
5840725;25.02321050687954;60.33741199645003
5840726;25.027736090992853;60.33747920279267
5840731;25.050364334710785;60.337812925504494
5840732;25.054890047738787;60.33787920823645
5840737;25.077518931583064;60.33820831276505
5840738;25.082044771746844;60.33827367183452
5840740;25.09109651507398;60.338403928125835
5840741;25.095622418138486;60.338468825344854
5840742;25.100148342071048;60.33853356861091
5840743;25.104674286822224;60.33859815792259
5840744;25.109200252342603;60.338662593278514
5840745;25.11372623858274;60.33872687467725
5840746;25.118252245493228;60.33879100211741
5840748;25.127304321127426;60.33891879511645
5840749;25.131830389752302;60.338982460672554
5840750;25.13635647884975;60.33904597226454
5840751;25.14088258837036;60.339109329891045
5840752;25.14540871826466;60.33917253355065
5840753;25.149934868483257;60.33923558324203
5842515;24.61616624631735;60.32849050903219
5842520;24.63878214331771;60.32889420358091
5842522;24.647828683388717;60.329054604952745
5842536;24.711157325598645;60.33016019003445
5842538;24.720204678571832;60.33031566995019
5842541;24.73377589510612;60.33054773623844
5842545;24.75187119762073;60.330855004526406
5842546;24.756395084909272;60.330931437046274
5842547;24.760918996763124;60.331007715741954
5842548;24.765442933133038;60.331083840611825
5842549;24.769966893969702;60.33115981165422
5842550;24.774490879223805;60.33123562886745
5842560;24.819732063875847;60.33198534003781
5842564;24.83782920899799;60.33228091687968
5842566;24.84687792382242;60.332427782186315
5842567;24.851402316627794;60.33250098405549
5842568;24.85592673296288;60.33257403206644
5842569;24.8604511727783;60.33264692621758
5842571;24.869500122652816;60.33279225293411
5842586;24.93737019431905;60.333862584716755
5842602;25.009770536165682;60.33496610767616
5842603;25.01429574494691;60.335033769674624
5842604;25.018820975480775;60.33510127775988
5842605;25.023346227717866;60.33516863193048
5842606;25.027871501608786;60.335235832185
5842607;25.03239679710415;60.33530287852193
5842610;25.045972812722933;60.33550309401281
5842611;25.05049819414209;60.33556952466496
5842612;25.05502359691872;60.3356358013923
5842614;25.06407446634667;60.33576789306678
5842616;25.073125420611582;60.33589936902484
5842619;25.0867020102136;60.33609542846858
5842620;25.091227582071195;60.336160473745934
5842621;25.095753174841562;60.33622536508563
5842623;25.104804422922975;60.33635468594654
5842627;25.122907167864707;60.336611480354904
5842628;25.127432905640802;60.33667529409192
5842629;25.13195866393428;60.3367389538801
5842630;25.136484442695778;60.33680245971811
5842631;25.141010241875794;60.336865811604525
5842632;25.14553606142497;60.33692900953804
5842633;25.15006190129382;60.33699205351719
5844398;24.6344212666991;60.32657098229752
5844401;24.647990108901634;60.326811793218724
5844417;24.72036114769909;60.328072744021824
5844425;24.756549075302274;60.32868845535459
5844426;24.7610726772894;60.32876472714239
5844427;24.765596303787053;60.328840845118286
5844428;24.770119954745944;60.32891680928059
5844439;24.819881715636914;60.32974226290073
5844442;24.833453608993917;60.3299641562102
5844443;24.83797762095534;60.33003781297295
5844444;24.842501656589132;60.33011131589613
5844445;24.847025715845934;60.33018466497819
5844446;24.85154979867647;60.33025786021752
5844447;24.85607390503138;60.330330901612534
5844448;24.86059803486135;60.33040378916163
5844449;24.86512218811706;60.33047652286325
5844451;24.874170564708383;60.330621528717714
5844452;24.878694787945356;60.33069380086745
5844460;24.91488940591975;60.33126643919831
5844479;25.00085743403481;60.33258698712554
5844480;25.005382289014115;60.33265495078908
5844481;25.00990716583988;60.33272276055624
5844482;25.014432064462788;60.33279041642562
5844483;25.01895698483339;60.33285791839575
5844484;25.02348192690236;60.33292526646516
5844485;25.0280068906203;60.33299246063235
5844490;25.050632032215965;60.333326122884564
5844491;25.055157124790586;60.33339239360811
5844492;25.059682238668458;60.3334585104193
5844493;25.06420737380022;60.33352447331677
5844494;25.068732530136433;60.33359028229903
5844495;25.073257707627718;60.333655937364675
5844496;25.07778290622468;60.333721438512256
5844497;25.082308125877923;60.333786785740365
5844498;25.086833366538034;60.333851979047594
5844499;25.091358628155636;60.33391701843252
5844506;25.123036042137997;60.33436798418433
5844507;25.12756146963673;60.334431792140286
5844508;25.13208691764831;60.33449544616135
5844510;25.14113787501213;60.334622292393306
5846273;24.621015915246993;60.32408601847515
5846275;24.63006100945297;60.32424762080403
5846279;24.64815150867226;60.32456898046306
5846294;24.71599452246522;60.32575216809908
5846296;24.725040686227814;60.32590731229278
5846304;24.76122633330512;60.3265217375454
5846305;24.76574964997982;60.32659784862825
5846306;24.77027299111025;60.32667380591141
5846320;24.833602307188546;60.32772105799248
5846322;24.84264973495919;60.32786820435102
5846323;24.847173484295755;60.327941546790235
5846324;24.851697257200744;60.32801473540062
5846325;24.856221053624797;60.32808777018059
5846326;24.860744873518666;60.328160651128556
5846327;24.86526871683299;60.32823337824297
5846328;24.869792583518493;60.32830595152221
5846330;24.87884038680564;60.32845063656891
5846339;24.91955664544888;60.329094104025664
5846357;25.00099466211516;60.330343651355484
5846358;25.00551920699529;60.33041160886295
5846359;25.010043773717005;60.330479412488
5846360;25.014568362230925;60.33054706222918
5846361;25.01909297248767;60.33061455808501
5846362;25.023617604437888;60.33068190005403
5846363;25.028142258032197;60.33074908813475
5846364;25.032666933221257;60.330816122325736
5846368;25.050765848937164;60.331082720163344
5846369;25.055290631359206;60.33114898488391
5846370;25.059815435079717;60.33121509570609
5846371;25.064340260049303;60.33128105262841
5846372;25.06886510621858;60.33134685564946
5846373;25.07338997353818;60.33141250476778
5846374;25.07791486195871;60.331477999981985
5846375;25.082439771430778;60.33154334129063
5846376;25.086964701905003;60.331608528692314
5846377;25.09148965333198;60.331673562185614
5846379;25.10053961884666;60.33180316744144
5846380;25.10506463283557;60.331867739201144
5846381;25.109589667579662;60.33193215704681
5848128;24.521696879382624;60.32002520180167
5848151;24.625701371469212;60.32192411914081
5848155;24.643790528800597;60.32224606465344
5848162;24.675447544762903;60.32280355024135
5848170;24.71162851671122;60.32343145146493
5848171;24.716151251408018;60.323509247189726
5848172;24.720674011096975;60.32358688914707
5848174;24.72971960525424;60.323741711752646
5848176;24.738765298788945;60.32389591926826
5848183;24.77042600306809;60.32443080154673
5848192;24.811134377360275;60.32510743456029
5848194;24.82018094755553;60.32525610567066
